# mesh name: boxMesh
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,0,0,2515.246702167425,298956.9497277956,52
0,1,0,2778.015095562228,268794.983639987,67
0,2,0,5143.358689791553,884435.1781065359,89
0,3,0,5888.895793467157,1055377.108319927,100
0,4,0,6422.814694332114,882670.0865743143,129
0,5,0,8079.392964648467,1106548.656377032,135
0,6,0,8545.044324122242,1281799.633951361,155
0,7,0,8176.164873971526,975585.4283966124,184
0,8,0,9033.29608092439,1040821.217198498,200
0,9,0,9966.758690699942,1360834.722152356,194
0,10,0,8666.295339053151,1088684.877949391,190
0,11,0,8578.820887956856,1174993.288307562,191
0,12,0,10257.28639184366,1259953.993206273,208
0,13,0,10234.76322276583,1370412.091244109,183
0,14,0,8351.420186682504,1362669.21334722,158
0,15,0,6433.925006627514,889246.4395370322,136
0,16,0,6102.542511459052,976250.9293148224,109
0,17,0,4479.828543272834,586031.0164352764,90
0,18,0,2924.14660148757,313796.2587622473,73
0,19,0,2247.507039621333,231738.0760019857,53
0,20,0,2150.19814510754,282638.6401073153,41
1,0,0,3359.739922500715,540183.9688077528,61
1,1,0,3113.091882015658,311523.1567763163,78
1,2,0,4792.47974875992,653889.5658502264,98
1,3,0,6542.708341171438,923408.4086568112,127
1,4,0,9626.25013751095,1418956.977745788,166
1,5,0,11601.19533772571,1607153.352348858,192
1,6,0,10153.2109111741,1551574.43148213,227
1,7,0,13413.26791384544,1931855.722028215,261
1,8,0,14708.22115736821,2150626.758534226,259
1,9,0,15516.92517602088,2470819.476858891,258
1,10,0,11966.84455004971,1436738.786658458,270
1,11,0,13827.94610037865,1973398.204533515,274
1,12,0,14609.92117288183,2015960.251040277,274
1,13,0,12543.03830686231,1676299.218109764,243
1,14,0,10466.2747269488,1353030.439939494,196
1,15,0,7175.209713028148,727651.4657009727,178
1,16,0,5830.150712790687,678517.9268969635,142
1,17,0,6054.648910774764,782739.2611800202,124
1,18,0,3796.382622432995,382919.4826591537,103
1,19,0,2838.483678469883,377515.9031573,73
1,20,0,2480.363368213864,345497.3810975071,49
2,0,0,3613.986327883782,530317.3972348651,71
2,1,0,4935.330750610811,711035.4633598117,95
2,2,0,6190.558291977448,950019.7001763991,132
2,3,0,8944.059342869616,1466168.318892541,165
2,4,0,10308.72893312547,1349696.373288576,218
2,5,0,12621.45537503572,1614314.208099215,249
2,6,0,17004.79164996426,2681626.298425047,280
2,7,0,19730.48867425478,2942108.484663449,337
2,8,0,20899.53773262388,3129643.908815147,352
2,9,0,20613.25357866067,2771834.436548842,389
2,10,0,20858.71812148427,2966749.854884441,401
2,11,0,21388.67027910124,3087022.691721486,400
2,12,0,21079.00574354323,2988476.863326053,380
2,13,0,15160.17590992796,1787207.323964948,329
2,14,0,15384.78227464579,2434916.561681024,277
2,15,0,13642.05348907887,2356227.565542093,242
2,16,0,8959.871320637245,1057539.676962079,183
2,17,0,7346.160341996975,1067251.256162287,151
2,18,0,5186.835735586476,551395.3754983696,126
2,19,0,4785.611398925726,672899.0882451193,87
2,20,0,3471.666341467901,399849.9385890479,74
3,0,0,4625.635060651251,660167.8371185841,88
3,1,0,5781.049151290033,712204.5630876611,118
3,2,0,8870.315484242199,1349560.037113722,163
3,3,0,11491.88332791354,1813803.675907329,211
3,4,0,14378.77082832779,1870563.785587863,278
3,5,0,17768.17838772706,2635405.30267168,327
3,6,0,21455.10598013478,3085971.820090531,383
3,7,0,25708.88476941768,3692205.183451897,432
3,8,0,30080.19402865013,4697312.242576125,497
3,9,0,36046.27931843451,6118365.819064366,557
3,10,0,36839.68333966943,6232575.124717365,553
3,11,0,35388.26161558165,5742582.900711336,554
3,12,0,30770.48915908489,4868342.545136082,499
3,13,0,25496.98135982727,3993835.026006608,434
3,14,0,22586.80051652393,3420854.066277794,397
3,15,0,17065.6379324982,2232137.401062388,334
3,16,0,13337.71267565525,1779756.826597371,259
3,17,0,12132.84778562246,1652318.85302429,218
3,18,0,7764.45520353287,973396.2202454973,187
3,19,0,7097.066935316364,1069480.477640382,129
3,20,0,4673.551202348568,563069.8661509258,99
4,0,0,7245.218711432913,1104401.16654246,113
4,1,0,7380.798075817401,1067447.505367486,159
4,2,0,10242.19936283769,1352891.642017584,204
4,3,0,13576.6940307179,1920107.622144102,261
4,4,0,18725.7982415945,2854326.92808194,351
4,5,0,22805.27689950634,3861772.41414326,416
4,6,0,30082.90461200126,4572338.100074527,506
4,7,0,38086.86107894697,6231907.809602234,598
4,8,0,51554.42283067593,9439064.272411875,662
4,9,0,52243.81289399297,9608999.919872522,729
4,10,0,58992.33262649331,11272064.36515586,734
4,11,0,55482.89182244496,10409430.31724716,720
4,12,0,49376.64852232757,8859006.315838218,669
4,13,0,37946.01269914972,5715762.646573973,579
4,14,0,30323.3245743852,5192153.489568927,517
4,15,0,24952.46688251763,3946538.783328032,424
4,16,0,21458.68960791768,3272185.091817395,356
4,17,0,18114.95554166386,2859513.836779419,295
4,18,0,12428.19916854134,1864888.226417259,223
4,19,0,9969.442242482526,1485208.89334242,172
4,20,0,6655.192679100775,951862.8561056354,131
5,0,0,6572.370713958333,863809.7141234298,128
5,1,0,7406.480573031918,971114.9427497069,180
5,2,0,11896.75405487773,1584052.630288085,249
5,3,0,18983.02676263859,2836849.274240593,336
5,4,0,26901.60417686,4426908.684144258,431
5,5,0,34929.80954906362,5218304.790687812,539
5,6,0,52439.53710211192,10268151.55264872,653
5,7,0,63845.59235464755,12808005.51734491,755
5,8,0,84553.62109802215,18764505.91635871,817
5,9,0,91162.10839939075,20269454.62881636,887
5,10,0,97512.94984725272,21831308.71930651,916
5,11,0,92712.44921822233,20775775.03372987,880
5,12,0,80218.2983430145,16721076.12049523,828
5,13,0,58536.21595747072,10575668.0095091,737
5,14,0,46220.30819916824,7823229.14493873,639
5,15,0,32121.81967315567,5083726.704115539,524
5,16,0,27894.80793873599,4499539.141340598,441
5,17,0,21182.14193693011,3114124.11257627,354
5,18,0,14180.95329524552,1829458.186672726,271
5,19,0,12615.3122809627,2066032.162212046,203
5,20,0,7361.01036468095,915171.310947116,150
6,0,0,6806.011574551426,804817.7384814768,149
6,1,0,11625.24080754543,1861758.692472185,211
6,2,0,16654.28461206027,2893718.114353462,290
6,3,0,23287.48613636457,3456027.352505005,398
6,4,0,34210.98996306434,5704520.253426732,520
6,5,0,47997.91556698262,8558927.090410018,659
6,6,0,71973.30013051764,14361354.56929935,811
6,7,0,98224.64781267135,21332125.47835831,896
6,8,0,135160.282588379,36793909.62380643,951
6,9,0,168545.1674177138,50696967.71652836,980
6,10,0,190164.6922954728,60677119.46733484,987
6,11,0,162491.5023391286,47767313.79179479,984
6,12,0,134699.5404119886,35286857.43278113,963
6,13,0,94809.43340065335,20912191.68949971,877
6,14,0,67020.99154747101,12244968.11040491,778
6,15,0,48979.28110810138,9877687.772424877,646
6,16,0,36345.00990943496,7404613.206858116,536
6,17,0,23805.24249453465,3719734.463810727,420
6,18,0,16732.34767948057,2593292.493076721,303
6,19,0,10976.37247078877,1504702.213632012,219
6,20,0,7698.652282498685,929299.7884470182,162
7,0,0,10175.61979214845,1515672.165736092,182
7,1,0,11855.45340877703,1578607.384628347,256
7,2,0,21136.0546754286,3705621.219861031,339
7,3,0,27737.80920700136,4226617.215342924,448
7,4,0,39814.79966819975,6840898.679424002,613
7,5,0,63225.39426029238,11546753.7066188,762
7,6,0,97910.75697353456,22070572.53525171,899
7,7,0,159602.3367622656,46485920.70684274,976
7,8,0,254765.1515889748,96711687.03465116,998
7,9,0,352030.2975852285,168446405.4567046,1000
7,10,0,396467.2052460337,205286707.1563224,1000
7,11,0,333854.0477163902,149213815.3374569,1000
7,12,0,242307.8424641791,89410889.98771638,999
7,13,0,153618.2101199015,44541365.78153802,967
7,14,0,97325.59337213915,22513548.58818833,889
7,15,0,64651.61309731709,12691743.88059431,746
7,16,0,43370.89825043469,8006032.032165162,597
7,17,0,28390.86675789814,4615370.564088816,476
7,18,0,19721.96784055637,3083682.458920251,365
7,19,0,12012.226734887,1758211.17491191,241
7,20,0,7105.751151992712,906319.3612554749,161
8,0,0,10911.02143848363,1550114.646875497,195
8,1,0,16253.08495599986,2373116.591867161,271
8,2,0,22778.47816712449,3661353.933373385,378
8,3,0,33463.93625063547,6138893.170796095,506
8,4,0,53562.42441378435,9846386.988763003,686
8,5,0,80401.43889048956,17239262.67854975,851
8,6,0,138410.9086960571,38400357.60823861,964
8,7,0,256234.3052868581,97298306.9614937,1000
8,8,0,492635.6285940734,304471035.7650183,1000
8,9,0,891120.632535693,890403755.3377743,1000
8,10,0,1194391.219315627,1561382945.359433,1000
8,11,0,888229.1951124528,884360766.2504727,1000
8,12,0,475700.5967987773,286158212.2600832,1000
8,13,0,246675.1045637116,94335393.10072719,995
8,14,0,132728.5691825009,34173861.83427729,960
8,15,0,81316.55764197714,17817288.22905029,830
8,16,0,49364.72090390809,8773360.642166547,658
8,17,0,32425.18997305073,5261158.761029063,514
8,18,0,20068.10479934063,2694125.971312968,384
8,19,0,13208.03149078817,1958407.531079666,271
8,20,0,8986.122931201453,1240199.035628537,174
9,0,0,9987.380760281196,1398866.899806518,193
9,1,0,15134.47052199909,2572011.331656682,299
9,2,0,25075.42023391151,3788691.545444526,421
9,3,0,33581.229874014,5326538.820503113,553
9,4,0,53791.78553321164,9176942.666806774,724
9,5,0,99682.44106939487,23446103.54884534,882
9,6,0,165726.8192599174,49197043.98245099,977
9,7,0,358531.9209431881,173285294.8998702,1000
9,8,0,918543.6443404566,940369078.9159733,1000
9,9,0,3228240.00110501,10712954919.7166,1000
9,10,0,7736357.982368915,60455136680.42163,1000
9,11,0,3218438.876424948,10657212577.63173,1000
9,12,0,888416.9855774031,892750227.1770433,1000
9,13,0,344272.4745060257,161376621.57563,1000
9,14,0,176422.9318989364,56937088.79020821,981
9,15,0,95569.4290518489,21250193.33144581,887
9,16,0,53755.19814897222,10829614.8992575,696
9,17,0,32030.4011276585,5541387.394655771,525
9,18,0,19851.41420674948,2852321.491278098,377
9,19,0,14892.71012579882,2237446.604636222,247
9,20,0,8430.824030340493,1001899.966672527,191
10,0,0,9174.879803457319,1059719.085950779,190
10,1,0,14765.88976318136,2191744.495296454,274
10,2,0,24913.4937590185,4152267.880837629,409
10,3,0,35803.13012296574,6232216.921711381,546
10,4,0,56717.30398594668,10605781.76965029,719
10,5,0,104936.9692244438,26547904.56721567,915
10,6,0,191411.7882650575,59473729.09170165,995
10,7,0,395944.3908441045,204128124.7838708,1000
10,8,0,1196773.032312135,1560307929.378204,1000
10,9,0,7787352.566373232,61241561307.52503,1000
10,10,0,117923267.277684,13913047709420.53,1000
10,11,0,7823429.313700256,61826964520.15446,1000
10,12,0,1186563.324653582,1535707991.913442,1000
10,13,0,400884.6096096333,209844847.1320961,1000
10,14,0,182876.0573409691,54429582.17227259,989
10,15,0,95118.28443192285,21823327.32944875,886
10,16,0,52900.55249476765,10049352.39539707,701
10,17,0,32367.16608052747,4631324.672802201,535
10,18,0,23269.95165643399,3296341.713835991,379
10,19,0,14785.56742021072,2160652.331929844,275
10,20,0,7803.41084975204,760465.8011303828,177
11,0,0,7894.907459840953,1029994.448689924,182
11,1,0,14063.47473507748,2153978.27316203,281
11,2,0,23052.06606916133,3910364.405423293,394
11,3,0,31865.80204620256,5264478.686620655,554
11,4,0,52234.7063060189,9134508.843120171,711
11,5,0,88350.03445255294,17952039.79872441,888
11,6,0,165012.4280046494,47129133.3223549,982
11,7,0,353564.9015072093,170694869.2140633,1000
11,8,0,892042.5865614112,894729042.9360046,1000
11,9,0,3217191.8765267,10634754942.25834,1000
11,10,0,7794761.93972302,61316844847.14816,1000
11,11,0,3199794.362825607,10539889741.42678,1000
11,12,0,895062.3638852624,904540591.4248794,1000
11,13,0,338453.7989262992,154168993.1283208,1000
11,14,0,158633.5376873528,43946883.72923309,984
11,15,0,85018.57981048859,18128262.5145148,857
11,16,0,52701.93658993748,9649689.454420619,709
11,17,0,32888.79946103699,5719693.356268558,543
11,18,0,24463.18116504862,4039529.61206091,396
11,19,0,14201.60339457336,1989990.773682433,281
11,20,0,8568.869026242406,1047936.905636922,185
12,0,0,8337.785185988851,1116579.077245682,174
12,1,0,13050.10950061991,2000318.50428826,270
12,2,0,21754.73192152431,2864369.870931763,392
12,3,0,31067.62085896078,4785314.73908913,505
12,4,0,46532.44824994892,8708591.870478416,676
12,5,0,76503.51053562878,14749597.24976137,842
12,6,0,135782.8574827612,36672385.62641072,953
12,7,0,234918.3936554054,83984694.03103527,999
12,8,0,457369.0605347563,265958316.046632,1000
12,9,0,889419.3262146539,889404000.0140717,1000
12,10,0,1197303.15689508,1577402310.665687,1000
12,11,0,902380.3908508192,915201497.6837593,1000
12,12,0,484752.2555371153,298178632.1775414,1000
12,13,0,240737.8126437633,88268586.02149175,999
12,14,0,132279.5342818233,36372985.4695564,954
12,15,0,76263.89133248577,15231965.06806459,822
12,16,0,48236.21666845027,7958268.552962394,648
12,17,0,28995.07994071563,4471095.346239412,476
12,18,0,21979.77501884251,3266425.981117507,351
12,19,0,13179.33437542597,1963747.705833688,252
12,20,0,8897.499201364513,1147221.911922169,183
13,0,0,7675.246920484176,1005249.107443881,144
13,1,0,13113.93574794827,1863952.85514492,249
13,2,0,18919.66862601144,2675794.800464686,351
13,3,0,25686.15849688786,3640225.098562834,462
13,4,0,37444.38812622073,6231811.886446894,588
13,5,0,62518.12916580583,11880877.6132293,764
13,6,0,99048.23264597537,22749242.42456479,913
13,7,0,149088.1547711795,40563940.91026151,980
13,8,0,244341.0025194643,88508923.69883938,998
13,9,0,347387.9109263772,164219444.3228839,1000
13,10,0,395682.1882430364,205084872.2216495,1000
13,11,0,344958.2550045446,160649142.7892354,1000
13,12,0,246422.6263896005,92255964.93560115,998
13,13,0,161141.1911701372,47237153.4547732,980
13,14,0,94611.62027696797,20512949.10261137,900
13,15,0,65244.82006643841,13252271.77801955,757
13,16,0,41784.12840220524,7311738.827389504,605
13,17,0,26941.89189941423,4732806.326527209,448
13,18,0,16676.83928775866,2111226.297673413,325
13,19,0,11080.08909689773,1517034.655627785,236
13,20,0,7467.064498574417,1033298.387984874,175
14,0,0,5453.207287299382,623766.78358054,141
14,1,0,12059.32344165213,1492102.979738375,217
14,2,0,17217.92122148332,2902803.492862687,307
14,3,0,22069.98159193129,3230320.714579517,403
14,4,0,34640.40665613639,5782533.641510525,522
14,5,0,44773.87556968642,7944361.057023311,662
14,6,0,69429.55338824555,14092995.43561766,794
14,7,0,101104.9411939528,22807650.81753997,910
14,8,0,138409.5063809192,35626820.32601173,962
14,9,0,174004.4782249871,53350600.49154253,985
14,10,0,182471.464713497,56505897.99605451,992
14,11,0,170428.7394567363,50024773.81046485,981
14,12,0,137547.978995425,36257603.04221331,963
14,13,0,101081.3033553205,22946276.24613082,897
14,14,0,66330.56933887549,12592735.86212076,794
14,15,0,49997.54392909468,9056010.85249657,667
