# mesh name: boxMesh
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,0,0,2119.6361887384,322727.4197758739,44
0,1,0,2677.57340596458,274583.6608673057,59
0,2,0,3361.285102664656,450896.971215971,81
0,3,0,4699.703444616625,574050.3073269476,97
0,4,0,7310.118262341661,979289.4013403761,134
0,5,0,7759.766831390272,1091725.276371138,160
0,6,0,7770.914777142543,1152288.158603922,165
0,7,0,11423.53069367397,1803767.498997137,197
0,8,0,11693.63213532901,1439362.416500322,204
0,9,0,11999.11095876632,1628717.74265457,225
0,10,0,11808.49294749149,1715303.443071804,232
0,11,0,12814.09243484012,1829526.465823239,233
0,12,0,12334.18730823179,1730637.194523785,242
0,13,0,10235.4153153564,1285008.620241008,216
0,14,0,9502.681097854418,1503333.247470655,172
0,15,0,5974.206303404651,709461.3327855953,148
0,16,0,4719.095351413565,554813.6660181708,118
0,17,0,3505.895909643906,350097.5719242187,84
0,18,0,2721.315794595789,257382.4522315169,80
0,19,0,2692.168224000141,278128.3423452008,63
0,20,0,2235.383648497677,253613.7141847817,49
1,0,0,3360.316075738997,469923.4182387565,60
1,1,0,4424.107556837934,686704.8261822793,85
1,2,0,5642.06584068514,751398.0098811863,105
1,3,0,6665.307348014298,904544.573235532,138
1,4,0,9245.217439587937,1264462.224417298,164
1,5,0,9762.722857946317,1271270.02170992,189
1,6,0,12788.50718837537,1804454.164710155,221
1,7,0,15718.18818946763,2191134.913187398,264
1,8,0,17533.13819521026,2684759.800383354,311
1,9,0,20015.95566641201,3306502.016626348,321
1,10,0,18268.96014312733,2587331.734246999,323
1,11,0,18614.17274440978,3072013.563582678,321
1,12,0,19093.62583476141,3089997.11125437,304
1,13,0,13694.95661135309,1838166.860049916,277
1,14,0,12269.14786088246,1537301.863134493,245
1,15,0,10057.30775663242,1362519.490605702,195
1,16,0,7818.828390506929,1070317.735469222,155
1,17,0,6577.239336404355,909678.9479101483,125
1,18,0,5057.219177109173,701978.5771390049,104
1,19,0,4903.54443014151,604336.0143395857,94
1,20,0,2547.291500527364,274130.4074172169,65
2,0,0,4727.901469253404,889309.6833186318,85
2,1,0,4401.592360266158,503267.1498141533,98
2,2,0,7253.688329300981,1065422.397105999,142
2,3,0,8244.021369454445,1045369.172308025,163
2,4,0,9892.5581141113,1271089.553686431,214
2,5,0,13636.33050678761,1920756.036416826,273
2,6,0,17343.72212340872,2451275.348314457,323
2,7,0,19805.67134998109,2760115.584144321,379
2,8,0,26790.72942658397,4686637.641566386,423
2,9,0,28138.03400951034,4969342.793845179,442
2,10,0,29379.77448987884,4952298.910672412,438
2,11,0,30894.5047150775,5574069.105032269,434
2,12,0,25900.28472159939,4286682.015828278,421
2,13,0,21126.25299388677,3098508.795380255,363
2,14,0,17697.23601569048,2847242.365479012,319
2,15,0,13970.9057706022,1928511.409453041,262
2,16,0,10876.45953237612,1590923.228233597,223
2,17,0,10202.61142554578,1503201.863780994,181
2,18,0,7197.603925506704,1106231.640581648,139
2,19,0,6633.542423436695,1052145.998110134,113
2,20,0,3797.079901505387,477817.384037944,77
3,0,0,4870.950125647151,690088.4966583854,102
3,1,0,4764.112185759368,517251.1427809391,130
3,2,0,8330.88983002165,1047360.710034138,174
3,3,0,11711.63715814154,2081091.654412287,226
3,4,0,17262.39874983617,2747604.016430861,294
3,5,0,20441.54239188916,3423596.530811447,350
3,6,0,30272.83199279383,5121364.801626145,431
3,7,0,33446.74604618516,5538471.170424694,503
3,8,0,43354.1841806501,8100262.359051228,544
3,9,0,44816.98650571592,7754184.035258893,569
3,10,0,46070.68339261862,8737573.554133974,588
3,11,0,45177.72028082885,9123713.324983645,573
3,12,0,40338.08155166355,7425304.836641709,543
3,13,0,32734.99165469961,5710990.155882725,472
3,14,0,24079.61785334648,3483108.632542073,390
3,15,0,21071.78223117053,3282043.156781836,340
3,16,0,15784.69591132395,2259843.59737333,271
3,17,0,13529.20193210674,1955330.471654425,238
3,18,0,9074.67264136206,1162125.033924409,186
3,19,0,7412.232457884841,1164544.679900548,132
3,20,0,4899.387245343486,631231.8265836124,102
4,0,0,4854.16786948239,673198.0265895007,103
4,1,0,7531.683814528194,1142914.864853854,143
4,2,0,10458.36925868175,1512405.056354114,214
4,3,0,16817.91758452616,2745504.577815653,281
4,4,0,20118.64558440636,2838139.33136425,379
4,5,0,27894.60365321804,4394900.769787753,449
4,6,0,41492.89290973815,7534285.753770435,527
4,7,0,48736.03684288463,9300240.019173538,610
4,8,0,69755.12455774254,16013306.82901463,673
4,9,0,81828.77356270733,20527842.83493048,715
4,10,0,87281.03744595875,22825493.64322549,726
4,11,0,76710.60876723236,18197478.48866966,709
4,12,0,65987.11047452455,14804782.47302673,683
4,13,0,46995.98545042622,8634597.470620597,610
4,14,0,38317.38561806018,6702605.103996618,539
4,15,0,29091.60279614909,5260816.129300241,437
4,16,0,22248.13982449901,3866032.253174261,335
4,17,0,16534.9996888667,2394050.188308686,295
4,18,0,10197.53497267616,1475922.495992119,217
4,19,0,8040.695136095372,1089403.748482041,151
4,20,0,7321.830186940752,996730.8586154792,129
5,0,0,7420.765634556834,998575.3057859342,137
5,1,0,8867.636748961842,1211719.933660461,193
5,2,0,13868.8053624942,1827234.011496162,249
5,3,0,19126.99179411403,2708250.035418995,336
5,4,0,28586.62429269388,5013858.262390886,462
5,5,0,41233.27882199179,7209210.213950625,561
5,6,0,61054.84365055161,12824905.16272189,657
5,7,0,83991.46809373437,20310156.04326106,719
5,8,0,120666.0408216055,35940277.81117335,784
5,9,0,153558.8995282926,57097363.21585549,811
5,10,0,171663.3586129595,65889969.84821548,814
5,11,0,147170.0368561635,49635156.45336414,801
5,12,0,113879.6373925226,33252680.80499324,779
5,13,0,78079.7452779084,18832600.80652166,730
5,14,0,54553.38368145192,11124372.62944174,657
5,15,0,40515.28420141873,7244689.039262267,548
5,16,0,31453.05044591532,6152635.498771081,436
5,17,0,21454.25283475253,3324029.26512747,357
5,18,0,15743.90471554229,2513278.567452667,278
5,19,0,10137.3901788806,1491642.382409013,199
5,20,0,6291.576844058422,694142.4147785592,136
6,0,0,11158.98181434403,1878398.109088286,177
6,1,0,12886.5276733148,1884960.92712299,229
6,2,0,17405.8095704626,2543485.663732951,313
6,3,0,24203.86706949137,3760521.251086771,416
6,4,0,38298.90681609388,6441879.934880698,534
6,5,0,54162.07399353869,10110805.69023742,658
6,6,0,79100.81169225434,19332872.04451474,754
6,7,0,133029.4460036002,40842537.67343821,836
6,8,0,223797.053191518,102070113.3063316,864
6,9,0,336544.5915524366,226861786.5913857,905
6,10,0,410387.8667689996,330918148.5884762,907
6,11,0,329035.4223754065,211210521.1915855,896
6,12,0,217905.4596183506,100966287.2958242,861
6,13,0,124298.0873636593,38092403.15636776,825
6,14,0,78526.88550315137,17970311.0363699,760
6,15,0,50974.90137942998,10280654.65515234,624
6,16,0,37030.97660988682,6033213.746672471,516
6,17,0,27597.658919539,4663304.917073077,420
6,18,0,18043.04549134305,2516528.749480419,324
6,19,0,12594.43203075041,1596518.543405393,245
6,20,0,8524.427213889863,1270856.611558489,155
7,0,0,8988.932831312197,1139263.196678118,188
7,1,0,14517.47031785073,2576830.377047352,253
7,2,0,21552.40237359865,3508797.113934886,353
7,3,0,27903.31486396595,4371274.810500874,450
7,4,0,44122.71888696695,8172471.785975504,605
7,5,0,67969.14824248012,13645152.73702303,755
7,6,0,107043.2523093008,27934947.63566159,857
7,7,0,199559.571833362,78061882.1283785,914
7,8,0,422905.7709227193,328315498.5999794,939
7,9,0,1007119.812804491,1905275219.12592,971
7,10,0,1676242.246917205,5291007723.896198,973
7,11,0,994987.721388023,1841624415.476942,968
7,12,0,410653.3389869602,309866151.8617271,955
7,13,0,197930.7824194895,80058937.25567211,897
7,14,0,111938.4228654637,31239391.06478138,859
7,15,0,65950.52447847843,15648969.7012389,735
7,16,0,41765.10485054558,7566207.572580823,601
7,17,0,26330.99097532207,3924986.203347298,446
7,18,0,17713.90896891108,2366678.190034377,327
7,19,0,13634.03966904739,2095400.188548752,229
7,20,0,7930.059332463919,1088098.414940676,168
8,0,0,9368.608960330574,1209386.395274008,184
8,1,0,13996.41800084439,1944158.800953696,265
8,2,0,25116.66613875041,4506882.628536306,377
8,3,0,31521.89258308916,5129424.919020048,492
8,4,0,44759.5710758633,7579134.975034075,650
8,5,0,79718.09476492892,18606143.55296838,809
8,6,0,135080.5777509148,37186016.92740421,928
8,7,0,255971.3444882896,113991429.3601665,971
8,8,0,659439.634265044,750373112.6844732,986
8,9,0,3463358.989700155,22500370275.31947,996
8,10,0,53216403.63954126,5563851398010.982,998
8,11,0,3489524.705777205,22970489802.22122,998
8,12,0,651886.0085061261,727039454.4440458,994
8,13,0,259246.8407114928,116669620.8508323,967
8,14,0,130440.8544490931,35993804.66454197,910
8,15,0,76270.73716626095,16914692.20911509,787
8,16,0,46060.22740182181,9059191.576293167,640
8,17,0,28951.8261645179,4365152.253946153,487
8,18,0,18175.16166737535,2500185.653372967,349
8,19,0,12965.28413949365,2002036.712741786,232
8,20,0,7150.270558969903,773504.0224924559,172
9,0,0,9384.564095065782,1352224.049033113,184
9,1,0,14098.06280591905,2178753.534598582,250
9,2,0,22723.27302519507,3573352.341190435,377
9,3,0,34301.75612632995,5674535.270523983,503
9,4,0,48325.71482296231,8649084.041999537,661
9,5,0,80043.94147253108,16914848.16510513,836
9,6,0,142349.2516582447,39107436.00292022,961
9,7,0,289672.1693791233,131081205.2577021,996
9,8,0,700705.890634955,708307619.0172231,1000
9,9,0,3001644.304272971,15428903947.50572,1000
9,10,0,12903413.54242588,315125036475.7067,1000
9,11,0,2996583.887159857,15396025258.12607,1000
9,12,0,701431.0874926114,719405155.9708143,1000
9,13,0,281639.8956583935,121371541.946958,990
9,14,0,143347.1639370232,39213929.42112189,951
9,15,0,77016.92746380399,15756474.94253851,824
9,16,0,51368.62522015748,9089973.734354803,670
9,17,0,30794.30929381099,4766674.792439704,516
9,18,0,20984.08630852879,3118132.969272497,364
9,19,0,12982.01538991293,1977311.648570538,240
9,20,0,7450.930868286843,868352.8598220909,166
10,0,0,8421.212418567991,1265660.55374839,178
10,1,0,13099.60834805199,1869802.380893889,255
10,2,0,21462.8466804472,3241723.80354669,386
10,3,0,32581.39756056541,5641855.18136364,514
10,4,0,50313.79247232412,9252134.97382921,683
10,5,0,85169.67381226068,18724966.28760384,857
10,6,0,148160.6638755061,42682427.16090691,964
10,7,0,295284.1885973823,125500337.6107435,1000
10,8,0,623664.3464648809,462398187.2310234,1000
10,9,0,1417290.286970333,2154343547.76727,1000
10,10,0,2207080.186464963,5088788627.379638,1000
10,11,0,1419657.260011851,2166934868.699675,1000
10,12,0,623691.4911056537,463789722.8482565,1000
10,13,0,275635.7729875144,109407122.9164095,998
10,14,0,146082.5283649555,39773119.84680174,973
10,15,0,83930.51340657358,16958060.50198556,856
10,16,0,52445.32304084292,9577660.676375873,692
10,17,0,33610.19548420895,5384310.520449628,529
10,18,0,22870.71187140145,3660224.388463089,363
10,19,0,12373.6302121526,1759767.810893769,257
10,20,0,7195.737539566408,1103026.729399106,172
11,0,0,7779.396325635405,993127.4997390903,169
11,1,0,12556.44794341415,1716638.000280898,255
11,2,0,20995.55473506169,3035995.552429335,378
11,3,0,30904.71168699494,4871565.934674574,508
11,4,0,46595.54395146408,7856294.107151117,669
11,5,0,81563.17476852733,17277328.56882434,843
