# mesh name: boxMesh
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,0,0,2006.858400598624,266099.5664174515,49
0,1,0,2449.564619911306,240874.672146207,61
0,2,0,3621.422215678092,544010.8667865732,71
0,3,0,4494.146574378663,572224.6008322374,98
0,4,0,7764.813918323544,1199678.357387023,120
0,5,0,7583.475183265898,972802.5096469091,147
0,6,0,6397.391496942202,1002256.478423905,158
0,7,0,9818.764041474959,1460518.634172786,187
0,8,0,10993.19606968388,1492256.920088682,192
0,9,0,11031.4908247145,1460799.200214902,210
0,10,0,9934.936274365831,1259162.037363099,215
0,11,0,10486.70865463854,1465165.555412968,210
0,12,0,11261.29942112762,1746395.153787334,220
0,13,0,10296.90810765078,1392656.452805688,212
0,14,0,8699.940156264534,1166226.095911076,172
0,15,0,5438.35200213696,574702.4797036063,137
0,16,0,4571.133511387833,553982.6391562084,107
0,17,0,4370.302279216008,552149.587878327,98
0,18,0,2731.230237946358,249276.1091366763,79
0,19,0,2394.932105677427,306262.3486753431,57
0,20,0,2536.531709277426,342584.7979600779,49
1,0,0,3348.482462731516,500003.2686697691,58
1,1,0,4205.818280458356,644113.3987514483,81
1,2,0,5145.404950461933,740851.3072772311,111
1,3,0,6353.203680330891,847782.4763448739,136
1,4,0,7816.850007307276,927956.1314318908,174
1,5,0,9193.901358500851,1088209.088649534,184
1,6,0,13097.59019948003,2068606.856862125,224
1,7,0,15566.66283123606,2197064.631574717,261
1,8,0,15825.03520854644,2487857.274831133,291
1,9,0,17269.8319444598,2689509.042635667,291
1,10,0,16092.29886516722,2203046.461273467,308
1,11,0,17927.45059512706,2819318.559305243,313
1,12,0,18071.12000391252,2729989.604654788,301
1,13,0,12461.63608739259,1524832.541181858,259
1,14,0,12088.94281232953,1915613.552892532,225
1,15,0,9978.425083764618,1487377.20308055,184
1,16,0,7802.540361875145,1026755.832260451,145
1,17,0,5721.680150370402,697976.1984696066,117
1,18,0,4283.189009363233,452128.8171935951,107
1,19,0,4313.563666853918,535230.4884695213,82
1,20,0,2654.534163306253,306902.1166555934,60
2,0,0,4795.890405477084,765525.2334092222,81
2,1,0,4317.408732947035,458346.8864667231,104
2,2,0,7116.846070010528,980466.9664619864,141
2,3,0,8462.211177695848,1195522.637777097,172
2,4,0,11197.02002726711,1563983.985222775,213
2,5,0,14276.3434656295,2175568.560063564,252
2,6,0,15969.69092306477,2131731.840666091,309
2,7,0,18860.96839753653,2564730.389360453,371
2,8,0,24146.1375410233,3952010.87242534,404
2,9,0,26847.40588525952,4367790.992739297,414
2,10,0,24980.95550984219,3708743.74590386,408
2,11,0,25843.5767115959,4179407.15087004,428
2,12,0,24284.70758278344,3756933.523923229,391
2,13,0,19289.55950935429,2671746.696512034,334
2,14,0,16983.73478595688,2516611.816911313,299
2,15,0,12328.43322265068,1499158.478172293,257
2,16,0,8738.916808904312,1093418.059888595,208
2,17,0,9308.60682704494,1200686.078345044,175
2,18,0,6828.777246365902,1053707.211687322,144
2,19,0,6165.149167070305,899621.8233726628,115
2,20,0,3042.674790262692,330014.1844919145,77
3,0,0,4566.990098740819,563271.598501101,103
3,1,0,5157.824716167497,675357.9568797392,129
