# mesh name: boxMesh
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,0,0,2846.219485955926,353396.9854836329,69
0,1,0,3499.045181343516,460219.3320840047,86
0,2,0,5598.636638059013,778618.4457576656,118
0,3,0,8089.46599528052,1572551.000812107,149
0,4,0,11543.21540864587,1913371.897597196,199
0,5,0,13722.04941465595,2571853.579092702,245
0,6,0,23001.10007592113,4188143.60310869,316
0,7,0,24893.20660964949,4147746.802540262,350
0,8,0,31914.77694418569,6144259.293877967,387
0,9,0,34500.26910201689,6079611.512410603,425
0,10,0,35758.83866609814,7114952.482726165,432
0,11,0,35598.71753230648,7819207.67530682,413
0,12,0,28934.00850128615,5300666.475964368,401
0,13,0,24340.59773216672,4185621.842821313,346
0,14,0,16721.01417798206,2382983.303617789,298
0,15,0,14505.86078118974,2264048.50732844,256
0,16,0,11820.55427394607,1734942.87170513,204
0,17,0,9322.84883439445,1408208.163246585,172
0,18,0,6716.913391979809,859567.9517740001,125
0,19,0,6115.430156465062,1127881.160651608,97
0,20,0,3716.870805709231,481712.3054917181,76
1,0,0,3407.89426622411,491829.2647016314,70
1,1,0,4689.088312142412,695373.1290321522,97
1,2,0,6313.923607647536,809972.3936244501,136
1,3,0,11497.30005673125,1792831.425321272,193
1,4,0,15560.89165926761,2463567.0296154,258
1,5,0,20064.69819845487,3195392.357232664,320
1,6,0,31252.60769562819,5874470.174199708,388
1,7,0,36552.31479236492,7308851.716395996,431
1,8,0,53277.89130601544,12299524.88702615,485
1,9,0,63115.10721596969,16029159.83025203,511
1,10,0,66850.69787977381,16835093.29582346,513
1,11,0,59508.29200674982,14786710.03023523,498
1,12,0,50911.60989201177,11359616.56856951,478
1,13,0,35795.33757442218,6797635.022714603,426
1,14,0,27830.7430198296,5053329.390258546,370
1,15,0,20905.5127294734,3775507.992173032,305
1,16,0,15212.95216341777,2564003.151043714,237
1,17,0,11758.45484399957,1693466.855214456,200
1,18,0,8220.220065695841,1132554.700366932,146
1,19,0,6492.716252365844,1026121.861098428,114
1,20,0,4912.179998810907,577003.141297106,92
