# mesh name: boxMesh
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,0,0,3925.234126539751,535618.5908884684,80
0,1,0,5947.845438034037,932900.6694106605,106
0,2,0,8186.4927318173,1278435.41986974,152
0,3,0,12094.83138406663,1816924.353020694,202
0,4,0,17646.57803232535,3038984.726449389,266
0,5,0,24479.48153810136,4549916.752957545,345
0,6,0,37492.57351691643,7697951.391432168,416
0,7,0,48494.21903918443,10412297.78737242,469
0,8,0,70840.4497828108,18639939.37006855,496
0,9,0,89779.07303027423,28061394.95189377,513
0,10,0,98770.3403996994,31516699.3331362,522
0,11,0,82933.13227090436,24506677.76875493,518
0,12,0,69500.36453864424,18601097.80162282,498
0,13,0,48431.49367438923,10717840.01003523,454
0,14,0,33845.87455688236,6367648.347373334,402
0,15,0,26791.45176714849,5877135.856959053,336
0,16,0,20497.7310708211,4693990.640525728,275
0,17,0,13577.85246822775,2215508.064295418,221
0,18,0,9141.089829793022,1514577.462364234,165
0,19,0,6582.776957773636,804429.3393510052,125
0,20,0,5015.496983351388,734834.2946195151,94
1,0,0,5668.838587723203,874214.9317862098,98
1,1,0,5787.362460291813,601296.9531366683,137
1,2,0,10553.83799983235,1596165.071392473,185
1,3,0,14429.1039625888,2276384.711212289,246
1,4,0,22057.24826480299,3987837.028597449,335
1,5,0,36152.28178819644,6691556.840112456,409
1,6,0,53915.19190944374,12600397.59555316,469
1,7,0,82990.54385183028,23989525.08620588,514
1,8,0,132860.8459708425,50936116.23092232,524
1,9,0,180831.1260140648,87420099.33849303,521
1,10,0,208177.6761734103,109001886.5481574,529
1,11,0,170103.770015153,74277510.27051547,525
1,12,0,120647.5176605513,44861431.72384933,524
1,13,0,74623.17472138153,20993494.13172501,510
1,14,0,48954.94610041257,10949453.60649185,473
1,15,0,32646.57897011032,6097576.715440154,397
1,16,0,23405.61210838988,4368573.201420518,316
1,17,0,15731.54602906982,2669754.05985592,257
1,18,0,12335.88662584877,2146319.93999412,205
1,19,0,7270.862101887328,984357.7813870652,147
1,20,0,3793.685174208763,461386.5538043369,92
2,0,0,6512.784221630845,929399.2207752983,111
2,1,0,10546.41256511004,1634852.754283492,156
2,2,0,12620.66672293918,2023875.922447994,218
2,3,0,18368.18503890129,3459947.082827188,275
2,4,0,29429.06099627762,5336165.015544499,381
2,5,0,42040.4865988398,8794005.029667113,460
2,6,0,69800.55909871134,18805932.85796834,515
2,7,0,130954.4309545231,49623097.34238262,529
2,8,0,252470.7274330049,156429643.9101157,530
2,9,0,459370.0362233853,463761784.2515711,532
2,10,0,608443.6450988889,799091469.6226622,535
2,11,0,455284.5694351646,452855122.0986578,533
2,12,0,247574.4186691456,152436293.2793541,534
2,13,0,128821.6970157494,49683034.79188588,531
2,14,0,67381.31339154791,16968144.36082225,510
2,15,0,42660.76022218754,9791876.889040483,433
2,16,0,24306.32606426976,3910036.67463642,334
2,17,0,16956.40853462939,2813050.039960953,274
2,18,0,11284.52780393998,1638956.928312635,202
2,19,0,8065.673193713701,1257781.122239675,160
2,20,0,5729.608517457008,848142.2323402186,104
3,0,0,5812.723570182727,867116.4075592142,114
3,1,0,8778.994227740945,1454262.164844823,176
3,2,0,15242.40942021502,2414400.373672352,247
3,3,0,17595.96356014957,2632462.988646149,299
3,4,0,30296.90947730063,5332320.071044228,397
3,5,0,54219.19987061592,13001536.80267843,484
3,6,0,87489.05613030725,26060178.80657583,525
3,7,0,179250.4122697769,83234364.81561823,536
3,8,0,467039.8151581441,477624096.5781447,545
3,9,0,1648781.644825832,5498109042.240072,549
3,10,0,3925904.640756032,30682239761.04594,544
3,11,0,1629614.587876035,5392998137.676207,536
3,12,0,451736.9826704366,450708916.2550592,536
3,13,0,182295.44442781,86769140.94539039,533
3,14,0,94372.22057052089,30912989.77391802,526
3,15,0,51670.83836965598,12148430.30867537,476
3,16,0,28717.75699720612,5967325.656567773,366
3,17,0,16433.83270649501,2720129.791125181,280
3,18,0,10360.69398463353,1460754.235851966,201
3,19,0,8918.520026370265,1475740.577235078,138
3,20,0,4170.232533861762,386357.6175920251,112
4,0,0,5946.451871879309,831144.4542222066,110
4,1,0,8607.116552216074,1242246.341899405,164
4,2,0,15192.5073125516,2583950.56520029,237
4,3,0,21185.02918514946,3491863.612362824,303
4,4,0,30150.68631011577,5566209.055615682,409
4,5,0,56318.74912705457,14677761.49673879,502
4,6,0,99860.03029420355,31205139.36891062,537
4,7,0,201789.259834297,104723170.2346212,550
4,8,0,609784.4071762498,791989387.9920263,558
4,9,0,3952678.834745513,31060646825.92238,568
4,10,0,59787664.80193263,7053660761324.046,560
4,11,0,3987764.5090096,31625556324.3413,554
4,12,0,605402.723167618,783964126.1243825,564
4,13,0,204867.256264787,106190964.0412341,556
4,14,0,93500.5669548781,27326878.88238936,547
4,15,0,47320.89521253321,10397129.38038522,481
4,16,0,28668.45780512743,5288168.383131635,389
4,17,0,17666.07907226443,2480108.169096587,301
4,18,0,12203.05623511209,1620888.096049803,206
4,19,0,8761.72400343265,1376482.360102058,157
4,20,0,4789.891511081692,468938.254271084,109
5,0,0,5084.162941013989,754735.9614157336,115
5,1,0,8345.650061572553,1218155.536716609,164
5,2,0,12745.75148401144,1966085.188689812,231
5,3,0,19445.9312431258,3624740.411423428,311
5,4,0,27603.82156148051,4740696.721508924,400
5,5,0,44522.73751383665,8643436.344516166,498
5,6,0,82984.4219789343,22787625.77392513,546
5,7,0,184283.1466397708,88259405.15365274,572
5,8,0,452049.4388903703,449671682.0480798,579
5,9,0,1636657.143935383,5409612336.525424,581
5,10,0,3966861.254007146,31290972815.05122,583
5,11,0,1626401.480423546,5356529558.685946,580
5,12,0,463318.5332407373,469499289.1426454,583
5,13,0,175457.211581041,78238423.72939648,587
5,14,0,82226.73443717018,21683644.19637953,568
5,15,0,44216.7318464419,8710136.701206753,487
5,16,0,31600.79412986127,5845037.336923772,404
5,17,0,18337.0767369591,2751904.553828808,318
5,18,0,14357.78761941228,2452611.517552744,236
5,19,0,8079.610994693379,1126396.306675836,171
5,20,0,4840.075096176559,579666.2815733087,112
6,0,0,6042.244591587842,796252.3029463973,120
6,1,0,7946.635683123347,987715.4080536412,164
6,2,0,13794.41327260144,1970638.315826175,239
6,3,0,18603.12466503858,2828093.984675955,302
6,4,0,26709.08547867166,4892286.781685299,404
6,5,0,42779.06961603274,8271693.297158237,483
6,6,0,72589.01541862772,19587247.11577677,563
6,7,0,125105.9778736,44382107.10292581,606
6,8,0,232228.9876032662,128963371.1607027,610
6,9,0,456023.9970666141,450064351.9931281,603
6,10,0,602335.3760778049,773486193.9723154,604
6,11,0,457165.9185376794,454788932.3859141,607
6,12,0,250207.209611441,149667577.9819959,614
6,13,0,125484.9956008591,43639162.9489112,591
6,14,0,72528.52672474008,19976557.71790846,567
6,15,0,43184.17475466667,8427004.466760036,497
6,16,0,29335.15553975584,4890922.563488697,390
6,17,0,19288.81842818817,3052850.426011987,296
6,18,0,13137.25698803259,2036636.197146471,210
6,19,0,7061.734347205894,1003385.375266594,140
6,20,0,4387.079223954583,498549.3825644859,102
7,0,0,5329.344357688301,764777.9087926031,97
7,1,0,7830.40960927458,956923.9448468178,167
7,2,0,12944.36481878491,1791085.400202608,236
7,3,0,16351.21034638998,2303662.960737376,307
7,4,0,23435.06185435647,3817834.704771221,382
7,5,0,36316.14790887436,6620672.220281154,488
7,6,0,55668.02247568449,12341291.18204709,584
7,7,0,85665.11723561147,24298901.10445637,644
7,8,0,133579.9750327336,46466964.31861481,641
7,9,0,191572.8041676179,91290725.73769492,634
7,10,0,212398.7099128758,110890972.1560288,638
7,11,0,184459.8730042295,83676620.89225164,642
7,12,0,134279.7725056238,48493622.96260954,640
7,13,0,84729.3090731585,22831960.45296674,609
7,14,0,52071.01845762452,10581153.41971368,554
7,15,0,36347.39316843428,6612004.974172986,474
7,16,0,26100.2058654659,4735446.394184749,384
7,17,0,18422.12136339472,3193927.75625774,290
7,18,0,9054.018090848809,922273.0432246812,213
7,19,0,5650.627830622848,630266.8671373969,148
7,20,0,4073.397833020799,536508.3363436603,98
8,0,0,4165.993059563209,398086.9781743254,105
8,1,0,8584.779552601007,1131050.443020062,160
8,2,0,14713.91004433423,2808871.177887696,238
8,3,0,16484.37702710868,2518446.778048141,302
8,4,0,22101.06709211497,3334028.034747346,387
8,5,0,27724.32620228925,4508432.368194776,462
8,6,0,43244.95789876254,7947755.800204805,552
8,7,0,59000.36611133964,12329708.36478497,636
8,8,0,81952.67357781898,20107637.91424628,664
8,9,0,101681.3944254463,30649253.90095293,700
8,10,0,109673.9065152797,33753708.04580888,711
8,11,0,95536.24425231022,25898606.76056159,700
8,12,0,77143.26300030813,18332166.38071882,675
8,13,0,60951.68322024563,13334214.33374902,614
8,14,0,40981.25467465756,7625375.60050598,531
8,15,0,32491.7328846538,5769108.470181638,451
8,16,0,20107.29284242539,2584442.585969123,362
8,17,0,16489.07002815786,2432951.135100877,280
8,18,0,10523.57758114104,1458434.245739709,203
8,19,0,6364.520898730106,917305.2631257111,130
8,20,0,5124.801345299593,696022.5635166802,98
9,0,0,3913.540462733367,371074.6551281284,107
9,1,0,7600.059750748774,1094401.513729282,153
9,2,0,11370.00341305591,1678484.995716785,218
9,3,0,15448.2729428657,2142087.014523793,301
9,4,0,19466.72621851255,2509795.284919424,387
9,5,0,27535.41445190494,4080452.868268457,460
9,6,0,33415.57399573562,5095064.672798637,547
9,7,0,46703.23729719433,8337560.405154051,611
9,8,0,52245.32355208433,9329465.750436172,671
9,9,0,65208.83264228342,12715100.24508625,731
9,10,0,66275.65671790141,13589061.79344526,719
9,11,0,59200.85035087289,11473111.82894791,710
9,12,0,52817.79049198357,10126131.75383654,657
9,13,0,44137.04588207428,8307486.84685246,612
9,14,0,33410.2743853154,5342196.998961654,527
9,15,0,26161.63023716425,3983366.566249876,438
9,16,0,21989.89151953139,3188093.077406756,352
9,17,0,15496.03169023354,2014259.400951753,275
9,18,0,8540.122664698016,941514.7295186511,214
9,19,0,5850.490815122425,728222.3089889168,133
9,20,0,5368.414383982566,672643.0135610935,105
10,0,0,7463.03945574605,1197757.767365959,115
10,1,0,8438.135686510035,1213562.051612816,162
10,2,0,12334.37052735567,1783935.674464139,221
10,3,0,16257.81237452461,2696602.563237131,287
10,4,0,21052.97392598573,2902689.44006018,359
10,5,0,25751.58149395229,4117712.426348848,423
10,6,0,30148.7233592326,4505438.260781115,513
10,7,0,42878.92854762178,7571629.803302621,601
10,8,0,48301.83478755706,8356892.826239104,656
10,9,0,52755.00796552836,9720242.870355543,720
10,10,0,55187.44158294154,9681504.416593345,731
10,11,0,52325.33986696439,9324953.030509267,715
10,12,0,49040.93475640574,9218627.225756537,648
10,13,0,37784.39234094782,6117954.831944454,571
10,14,0,32035.91304407424,5137390.031091733,519
10,15,0,24586.79825939934,3643166.043199326,424
10,16,0,21632.14229294173,3169606.259935777,348
10,17,0,16040.15584868813,2282924.933870632,297
10,18,0,11816.78417963104,1688982.808766106,222
10,19,0,8080.979686813084,942277.6521908225,167
10,20,0,6338.378295725187,1012284.271523236,130
11,0,0,5776.730288491974,865815.5402319377,110
11,1,0,6587.84499555676,910788.1067327752,166
11,2,0,10618.67016306019,1382697.080935014,220
11,3,0,14984.86450199997,1805324.381393207,291
11,4,0,21214.26186283803,3100498.540257478,367
11,5,0,28404.9018888606,4324741.722369906,440
11,6,0,34793.8545759612,6644911.880546536,521
11,7,0,44820.62886874771,8556235.576628612,597
11,8,0,57102.58085813882,12439838.63308537,649
11,9,0,60632.10544606222,12661366.82040076,696
11,10,0,66345.2149626099,14401183.79055095,721
11,11,0,61383.49703710142,12323905.46615708,703
11,12,0,53362.98707988226,10619922.95795041,655
11,13,0,40700.25457932931,6332199.339431696,592
11,14,0,36033.41309177537,6093620.395266409,523
11,15,0,25940.97376381033,4128707.328058219,435
11,16,0,21786.03410474245,3245387.011609906,373
