# mesh name: boxMesh
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,0,0,2833.452171861583,544684.4603493517,60
0,1,0,2856.908655417182,315529.1059938808,72
0,2,0,4791.562980934499,629899.8345372124,96
0,3,0,5758.665409804144,785792.0182195078,122
0,4,0,7939.878307401255,1072990.731677725,163
0,5,0,10221.37093473762,1303491.925606539,214
0,6,0,13490.70312623466,1890203.194743914,254
0,7,0,15152.55625075405,2073380.990338722,288
0,8,0,22000.81604920888,4045873.178869786,330
0,9,0,24071.12677601349,4400336.932919347,367
0,10,0,26687.10213603019,4721147.398415266,361
0,11,0,25240.7211623154,4637091.277926295,353
0,12,0,20878.27305327279,3611795.317270703,339
0,13,0,16083.17147003134,2230989.43412281,292
0,14,0,13439.22758414409,2032881.44998671,252
0,15,0,11595.25528879262,1668028.010188937,206
0,16,0,8353.548924518307,1199068.466041567,177
0,17,0,8006.411602591392,1164046.939725626,138
0,18,0,6063.673410641789,1003872.441465842,103
0,19,0,6241.274786464473,1119178.258855184,90
0,20,0,3170.377156222334,412222.757797787,65
1,0,0,3529.508265744845,477710.8746199508,71
1,1,0,3629.822642209631,422821.6770749305,93
1,2,0,5986.624622746855,736474.7553423418,131
1,3,0,8866.387790911336,1720990.962172347,176
1,4,0,13694.51444636164,2266050.392912498,214
1,5,0,15396.55275055828,2692718.81788872,266
1,6,0,24955.10144742942,4429620.465503743,334
1,7,0,27528.06399994223,4774607.665955834,389
1,8,0,36186.21208791893,6904653.285675067,442
1,9,0,40603.67619926418,7216950.666405109,468
1,10,0,39963.78563375039,8048009.556579839,468
1,11,0,40012.89503245456,8651207.97445873,442
1,12,0,33773.18373156825,6420562.700702888,437
1,13,0,28322.76354193317,5225316.933943843,370
1,14,0,19753.65452085193,2822430.055668499,315
1,15,0,16839.78033898894,2618547.063174954,273
1,16,0,12854.72120476126,1862435.615295717,208
1,17,0,10253.88418950486,1486854.732752877,187
1,18,0,7391.248889414964,967544.9926917437,143
1,19,0,6642.341978348582,1120306.001087234,103
1,20,0,4055.095173173248,523418.5819372035,78
2,0,0,4001.829578074214,603436.3939222341,77
2,1,0,5923.292679774659,896776.454886624,107
2,2,0,7572.597541939598,978024.5049262363,164
2,3,0,12457.8294887078,1845808.03368666,210
2,4,0,16284.1187923551,2394661.359740156,289
2,5,0,21839.71510689856,3563396.004390891,349
2,6,0,33115.75144895977,6308501.861748035,408
2,7,0,41046.72614597783,8305912.77310344,475
2,8,0,61036.28132826481,14639169.13967895,517
2,9,0,72872.03581523531,19129301.74505265,547
2,10,0,77148.18396426961,21202877.33849438,554
2,11,0,67964.94271970943,17112349.14720837,532
2,12,0,57935.20353975918,13822868.76744462,530
2,13,0,41396.66922432317,7861809.36361311,480
2,14,0,30619.72096960351,5488568.751771942,419
2,15,0,23301.12094802464,4444416.955718554,336
2,16,0,17413.03092865864,3127358.021261029,271
2,17,0,12647.37959881302,1716924.259225096,222
2,18,0,8555.874110395451,1277653.481652215,168
2,19,0,6719.970935047075,852357.1682222538,130
2,20,0,5658.001891750684,788737.6133069467,103
3,0,0,5602.248878991926,718865.2866696871,110
3,1,0,5973.460041139007,737900.8919366408,151
3,2,0,11007.86554833184,1525157.939220078,195
3,3,0,14051.92865406725,1863293.929497217,263
3,4,0,23028.01268215654,4293450.547171502,341
3,5,0,33597.78816022728,6041597.187325827,428
3,6,0,51869.79820756954,11228822.94118652,504
3,7,0,71184.61648894032,18035893.64357427,557
3,8,0,106593.6729042532,33476673.58943128,589
3,9,0,136367.7769884451,53941501.2631382,587
3,10,0,153193.219598579,62085455.81451209,587
3,11,0,129591.0971254614,46606564.89792769,586
3,12,0,98993.57862548505,30281789.82921984,585
3,13,0,64965.8306298923,16367298.00279292,558
3,14,0,44970.79318242096,9144060.206986582,503
3,15,0,32438.09190337058,6132738.992201436,414
3,16,0,25362.06183395861,5407717.796690806,334
3,17,0,16869.04982110103,2730741.56430481,268
3,18,0,12705.88766406967,2241410.944645951,207
3,19,0,8306.459872166006,1220222.408447179,151
