# mesh name: boxMesh
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,0,0,2728.305660329931,460604.3332308769,44
0,1,0,3527.746772075033,573017.1589659906,69
0,2,0,3770.032903182929,402650.917228536,87
0,3,0,5815.454695626452,794277.0851747388,115
0,4,0,7505.751163062178,986465.3357357038,144
0,5,0,8381.231982159092,1061420.128684393,155
0,6,0,11099.40501976357,1795168.867745384,180
0,7,0,13262.41728018676,1923816.184010227,221
0,8,0,14894.22167795115,2365543.671636066,263
0,9,0,19001.77703638916,3318653.299130097,271
0,10,0,14927.72228405297,2152536.807635041,275
0,11,0,17332.6478546168,3186794.948383752,269
0,12,0,16208.62328770739,2624194.326711513,257
0,13,0,11012.58096612759,1502886.401070946,217
0,14,0,9300.52714422208,1105990.134786902,187
0,15,0,8734.306289115333,1329352.680555698,151
0,16,0,5568.165024484524,607209.7070040458,124
0,17,0,4504.8494736761,452761.1888206105,100
0,18,0,3847.269004367425,451954.2905801555,81
0,19,0,4397.258602293903,676534.1565420567,79
0,20,0,2003.520530648376,233737.9020160456,55
1,0,0,3483.851528818477,605784.5260160115,68
1,1,0,3770.270121028637,401459.3213142306,84
1,2,0,5799.07957033048,789017.2702838337,117
1,3,0,5820.944077725451,729199.6787281706,138
1,4,0,8850.943613810005,1174600.171466873,170
1,5,0,10263.96955326112,1299400.820521625,214
1,6,0,12490.34333860288,1618804.660154294,250
1,7,0,15476.98628967419,2035071.207418515,298
1,8,0,22572.95887881862,3997106.880949369,342
1,9,0,23592.49481674189,3748121.477788425,388
1,10,0,25090.88019118338,4081421.521078713,377
1,11,0,24661.89028044279,4044496.399028649,372
1,12,0,21244.72914039871,3531201.286524388,348
1,13,0,17619.81457804248,2445654.835788875,313
1,14,0,13754.93995576343,1875320.200114024,275
1,15,0,11263.73200700339,1534061.877062761,217
1,16,0,8250.581135677419,1030794.378919612,186
1,17,0,8340.439736053086,1178129.02032407,152
1,18,0,6308.653037383428,997745.659814171,121
1,19,0,5982.436889658847,1026890.073811039,102
1,20,0,3382.168340974712,408817.8901550964,74
2,0,0,4032.411712986739,458421.6960622057,91
2,1,0,4437.259609910834,570977.4402920372,111
2,2,0,7265.369762609793,1011628.788872198,146
2,3,0,9516.953433623132,1723957.269750419,183
2,4,0,13080.38662192382,2103551.349438488,237
2,5,0,15273.92349209918,2770868.063668224,289
2,6,0,25508.18128717114,4499504.282366217,362
2,7,0,28173.41471431939,4523200.265012563,409
2,8,0,35071.55883955487,6446442.71162323,461
2,9,0,37243.1248342119,6500975.02514772,489
2,10,0,38890.5436102778,7594625.140209769,494
2,11,0,38656.71825808103,8164110.231810025,479
2,12,0,33240.01472018671,5923916.958746087,472
2,13,0,27171.0987627925,4487427.851639436,404
2,14,0,20270.01018032618,3050718.770645574,353
2,15,0,17395.52926234332,2784330.087341529,297
2,16,0,14261.25944819008,2113095.427500459,241
2,17,0,11486.07503390281,1852086.891302242,204
2,18,0,7778.901066992958,1003293.913457123,150
2,19,0,7022.643976203862,1224046.122226375,114
2,20,0,4809.450654950882,633673.5905724092,88
3,0,0,5161.234744535906,785711.0898272997,96
3,1,0,6251.799430197109,884202.8567151421,126
3,2,0,8858.314374052723,1253398.83795079,183
3,3,0,13934.00931394965,2063610.980209224,240
3,4,0,17418.13888468309,2575568.978482356,311
3,5,0,24105.47914374088,3956760.376398128,381
3,6,0,35047.51331958124,6319767.345960592,462
3,7,0,41366.46675387155,8040291.214677755,527
3,8,0,58617.97929263232,13114807.193344,570
3,9,0,67683.04674121167,16724659.10094633,586
3,10,0,69640.25767651005,17055340.17668047,595
3,11,0,65624.47917143056,15749496.0306079,591
3,12,0,56249.85334062151,12040840.77956653,575
3,13,0,40697.42969807228,7512555.632506039,503
3,14,0,31940.3008972931,5716032.960041285,445
3,15,0,23070.1297677978,3943057.092170179,366
3,16,0,17921.95627047019,2948137.895665728,291
3,17,0,13941.43881353547,1978747.466531147,241
3,18,0,9314.426905484912,1218702.317246337,185
3,19,0,6931.997171759977,982085.9494425289,142
3,20,0,5519.393595764838,628133.7129801163,103
4,0,0,6151.206620977,853207.7106452377,122
4,1,0,6530.309096918959,787323.8396531196,160
4,2,0,12159.95035792539,1757056.026520243,214
4,3,0,16161.97284927369,2269136.389557238,289
4,4,0,26135.20817836167,4793775.42140706,393
4,5,0,35194.9595226827,6193374.365435096,473
4,6,0,52208.63449615984,10816433.94316115,559
4,7,0,67457.02771314056,15332275.03421738,633
4,8,0,100635.5125072229,28638837.22436298,662
4,9,0,123305.28354616,43987021.16935374,674
4,10,0,137340.0165668023,49349412.81616572,678
4,11,0,115313.8296259496,37071762.42676467,687
4,12,0,93526.87075079174,25878183.04949002,661
4,13,0,63180.5762631211,15397418.36540966,603
4,14,0,45023.44285307564,8569575.109480809,531
4,15,0,35988.78545367326,7414288.897044075,445
4,16,0,26421.58835428199,6124343.990872538,360
4,17,0,18173.30997978417,2856035.924863198,294
4,18,0,12895.61115384063,2171358.683958509,226
4,19,0,8696.573878002528,1208672.347868214,161
