# mesh name: boxMesh
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,0,0,2965.820159647032,496184.2950558835,52
0,1,0,2782.154002349764,273093.5328035881,73
0,2,0,4728.713329555654,680376.9805174816,95
0,3,0,5889.352285818152,828943.046091413,122
0,4,0,9228.530201634041,1451662.774054241,152
0,5,0,10115.55818586405,1469929.471508689,188
0,6,0,11581.11226030418,1617827.530660913,225
0,7,0,13954.97501737854,1864402.781008443,262
0,8,0,17974.72844541445,2931792.832155564,315
0,9,0,21993.26084379435,3574426.667237729,334
0,10,0,21890.90126193763,3445956.382814035,320
0,11,0,20090.52621618536,3265664.932675088,323
0,12,0,18965.80029390253,3107184.67196922,291
0,13,0,14452.29198925724,2057114.411299531,256
0,14,0,12694.91744842298,1866199.650131575,227
0,15,0,9980.47888619104,1319839.551721132,189
0,16,0,6214.185385477102,776552.0678178784,150
0,17,0,6936.224429192412,915450.4223722966,129
0,18,0,5679.275258373726,951942.2137660688,103
0,19,0,5729.678744173886,960560.4902175819,87
0,20,0,2494.245587206373,275080.6870721739,64
1,0,0,3645.661083037957,483077.3378208287,76
1,1,0,3810.377972556628,491461.9670782203,96
1,2,0,5533.13207315716,604925.5004020346,122
1,3,0,7540.213756439162,1099848.016084249,154
1,4,0,10842.10073080633,1775213.248603083,202
1,5,0,12907.47031684505,2326182.648741159,258
1,6,0,20560.60283855468,3695067.11445092,307
1,7,0,22851.23927315225,3530586.109806309,357
1,8,0,30985.39400338869,5745343.671209642,409
1,9,0,33722.28664811274,6260584.720012004,449
1,10,0,35152.67128776191,7093711.749540118,424
1,11,0,35427.70232363428,7813513.786400351,410
1,12,0,27226.97034642856,4569048.429523435,413
1,13,0,23202.60237749194,3682498.024427825,350
1,14,0,16046.48737038566,2306983.990574209,307
1,15,0,15139.250270693,2424270.52471688,257
1,16,0,11924.96088456203,1816691.551619853,205
1,17,0,9841.818208343992,1542869.853755384,167
1,18,0,6360.236646851508,803116.5345320923,130
1,19,0,6748.079682733122,1167547.775785749,104
1,20,0,4045.012275999571,491672.5614318182,76
2,0,0,3691.094127577706,533279.4905734856,80
2,1,0,5342.128151816237,725944.7515083961,117
2,2,0,7325.698222275785,940198.8096569087,157
2,3,0,11434.77165238096,1759172.866884146,212
2,4,0,15578.48858353627,2443690.569877601,256
2,5,0,19907.10805491745,3038724.08001846,321
2,6,0,30173.6407597086,5359359.429607962,392
2,7,0,35411.05305532101,6759178.824261711,456
2,8,0,51339.56789001455,11176656.71206791,488
2,9,0,57134.71216481682,13098179.61405424,528
2,10,0,57810.30672872931,13247654.68661819,544
2,11,0,56430.15462169409,13507334.87520642,523
2,12,0,48766.96862393532,10414414.18235251,506
2,13,0,35883.79345943041,6751979.969735866,468
2,14,0,26691.089559245,4489189.469557002,389
2,15,0,20057.70259692931,3240060.158386824,326
2,16,0,15301.24806679713,2470409.634865883,257
2,17,0,12117.78177396933,1760662.878094912,214
2,18,0,8772.578283246365,1179527.662559454,156
2,19,0,6624.137033880195,978901.4157612985,123
2,20,0,5263.967279109578,601065.633974665,100
3,0,0,5470.266570893444,690691.1185239461,99
3,1,0,6027.498552976032,831667.903998651,134
3,2,0,10574.32898029375,1699899.851388425,189
3,3,0,14087.1666800524,1969636.32388299,246
3,4,0,22287.98939300597,4076721.972653084,327
3,5,0,29093.80192785804,5138501.955143248,411
3,6,0,44306.89351273512,8843985.496747477,494
3,7,0,57054.15084567237,11995462.9290669,555
3,8,0,83597.36660923717,22437052.32014241,592
3,9,0,105017.5278911925,34710595.87909219,595
3,10,0,115849.4906289204,38848068.95444468,593
3,11,0,97875.30087422555,30199620.35664665,600
3,12,0,81720.08995200132,22088910.40827508,592
3,13,0,56202.68421190855,12975629.93561992,538
3,14,0,40540.6806593951,7846537.810614358,477
3,15,0,31029.29840668435,6363928.952751218,393
3,16,0,25158.29982344928,5931678.068196574,319
3,17,0,15947.14129173181,2630626.59205916,254
3,18,0,11003.69216666817,1862043.692522734,195
3,19,0,7949.812400319008,988196.7048650467,144
3,20,0,5483.855637175317,687074.5005139285,111
4,0,0,8045.28256360972,1307434.450498729,135
4,1,0,8409.845836573157,970012.1013641461,178
4,2,0,13462.03024105654,1886795.353585328,241
4,3,0,17660.73092140973,2775420.320270771,301
4,4,0,26197.55210682721,4356037.233648438,416
4,5,0,42976.22578073775,7927423.452117626,487
4,6,0,61513.31322775315,14589713.41196936,571
4,7,0,96741.69440167113,28420080.96114723,636
4,8,0,156626.4721574767,64120360.46652253,633
4,9,0,220903.6377024844,118518698.2129477,628
4,10,0,254583.0852602676,153192969.4367302,629
4,11,0,209082.8903111047,102499704.7521567,637
4,12,0,146310.6801472442,60228043.56367179,637
4,13,0,88289.26102336716,25044299.49332842,599
4,14,0,57212.35790651706,13105988.44231502,561
4,15,0,36363.88546467338,6656129.279728574,477
4,16,0,25235.43865601979,4249412.702925105,370
4,17,0,18711.44741584818,2964187.479751898,305
4,18,0,13896.37697893485,2171354.686426435,257
4,19,0,7766.655619682853,889354.0388301382,185
4,20,0,5147.630603179418,606471.9556015276,114
5,0,0,7515.69345992127,971158.7889922733,153
5,1,0,12559.46427891697,1952691.381112844,199
5,2,0,16302.36425746437,2615930.017929222,273
5,3,0,22280.33653967645,4039928.168027156,354
5,4,0,34332.54016929006,6142886.220424306,471
5,5,0,49280.55681112166,9780391.180895837,564
5,6,0,80102.259800663,20319562.90742997,624
5,7,0,148629.5084156358,57055544.21087376,673
5,8,0,298039.1974313308,198905968.2858383,680
5,9,0,580377.4085633933,704652689.9314954,687
5,10,0,819308.937428327,1385103336.915515,695
5,11,0,580738.1931649264,704622711.3058375,696
5,12,0,289084.9985140418,190518771.2951659,677
5,13,0,146827.8642201707,57964403.04009346,651
5,14,0,79097.04517329346,20857457.80004346,625
5,15,0,51211.63121109549,12478279.12517043,537
5,16,0,28790.300400866,4768078.309334208,417
5,17,0,20757.71255415203,3263979.352376346,336
5,18,0,12784.96770842581,1779213.766639428,254
