# mesh name: boxMesh
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,0,0,3703.026155659465,549443.6727426313,69
0,1,0,5438.059475416166,842494.702677284,93
0,2,0,7018.937112244507,994980.8812745172,144
0,3,0,12119.15406355591,1858396.887639675,191
0,4,0,14718.94979498915,2199310.673678122,263
0,5,0,20603.29001639591,3357919.339013678,321
0,6,0,31909.71152030768,6135484.252576509,383
0,7,0,40088.26808306884,8200336.998165314,440
0,8,0,58751.93342950233,14345260.52777472,475
0,9,0,70054.27294762374,18779385.57389704,495
0,10,0,75116.61197908712,20909243.23389274,512
0,11,0,65593.83636180952,16708275.24027288,498
0,12,0,55727.14550129148,13595908.91234291,480
0,13,0,39649.28152146116,7727409.756684265,432
0,14,0,29481.36491359449,5380268.935257838,382
0,15,0,22564.80335685925,4399512.450904293,308
0,16,0,17306.34689064151,3180244.164977777,248
0,17,0,12143.0775336649,1698892.695085136,206
0,18,0,7899.196327643408,1184064.073027065,153
0,19,0,6382.699314970111,852319.8405183054,116
0,20,0,5149.033685494047,748409.9650091156,91
1,0,0,4686.574798565198,652741.8033801407,89
1,1,0,5019.917842409212,626785.3813776847,127
1,2,0,9345.830938107434,1285922.049563963,174
1,3,0,13114.46665642624,1791370.655394835,234
1,4,0,21709.21093406294,4135972.734687984,309
1,5,0,32125.35665854578,5877207.681837529,391
1,6,0,49831.38121533828,11064285.44319987,460
1,7,0,68544.94656130986,17779303.14747472,502
1,8,0,103546.8581244226,33213483.17468555,521
1,9,0,133711.1163218493,53616102.96910123,525
1,10,0,150156.3383014217,61641614.61404091,534
1,11,0,127039.6609152511,46354704.35841604,527
1,12,0,95181.07132855766,29730481.30755228,523
1,13,0,62369.8952605488,16060573.33632695,498
1,14,0,41933.80954378331,8709378.046872329,448
1,15,0,29998.0147177921,5723587.602032002,373
1,16,0,22972.46899796126,4995260.20695198,299
1,17,0,14843.15650460365,2378970.10691152,237
1,18,0,11782.11474124111,2127860.958067835,184
1,19,0,7565.974592478942,1167497.766881339,133
1,20,0,3799.186277423113,440419.4274971558,90
2,0,0,6361.732911341186,1018945.735222711,116
2,1,0,9103.973520886311,1337090.05334788,148
2,2,0,11661.41656255068,1720181.980534742,206
2,3,0,16609.68987647435,2829981.971656594,277
2,4,0,27348.36194016283,4739005.442649954,370
