# mesh name: boxMesh
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,0,0,1961.430467057901,252330.4975554398,48
0,1,0,2536.687082457208,297991.2377353324,64
0,2,0,4313.083630313446,645279.4085539557,70
0,3,0,4479.349866911568,695831.1786630038,96
0,4,0,7430.3856635588,1101777.526355661,127
0,5,0,8317.084225669925,1180930.846977544,143
0,6,0,7034.971213512828,1062721.206936878,149
0,7,0,8660.450161428338,1057157.000473079,173
0,8,0,10021.53162706301,1340329.976707396,199
0,9,0,11065.83631276288,1616025.642238644,209
0,10,0,8552.898973018124,963321.6832952084,207
0,11,0,9430.312974748991,1207491.713638008,205
0,12,0,10496.81958733739,1401889.106283161,206
0,13,0,10170.86190808561,1453313.900187612,200
0,14,0,8015.430395794284,871599.7507282362,176
0,15,0,6100.640013173105,793129.5217285934,137
0,16,0,5544.057569449203,887061.856286899,108
0,17,0,5090.735295472128,776558.2501202141,98
0,18,0,2983.597328627188,315242.4000681271,78
0,19,0,2352.654878060137,334507.4878001431,54
0,20,0,2346.245577874733,309835.9052120897,43
1,0,0,3552.387482811622,612163.5608801211,58
1,1,0,3998.354119210855,431566.8225428507,77
1,2,0,4770.033380047147,732607.6948327138,105
1,3,0,6714.894452058041,915967.30297084,125
1,4,0,8066.179867459617,1048172.051223259,167
1,5,0,10015.44831794254,1352346.355609518,197
1,6,0,11655.07437608695,1738814.93787501,225
1,7,0,15056.5887963506,2179716.755353724,262
1,8,0,14500.54196643474,1892504.666093886,268
1,9,0,14888.71145616303,2074921.871688324,279
1,10,0,14215.42015957563,1943783.806048918,277
1,11,0,15029.2636247689,2083019.649853871,294
1,12,0,16506.74709228452,2317289.079152331,299
1,13,0,13163.03319023219,1743041.127463312,250
1,14,0,13013.89375430242,2422203.693755895,210
1,15,0,8642.919913787891,1200962.069270295,184
1,16,0,7126.915214411646,1071597.651535981,143
1,17,0,4984.91564114638,606792.7404085681,113
1,18,0,3566.401068826038,352211.6926737426,94
1,19,0,3625.123109781891,446871.5606100435,76
1,20,0,2514.068814041265,262703.27059754,57
2,0,0,4487.147232889363,731405.0494091474,70
2,1,0,4194.699424489356,510311.9005200551,102
2,2,0,6720.925299749574,873561.5851056239,134
2,3,0,8584.975283054846,1146499.590187057,169
2,4,0,11838.81883550078,1624249.476092268,213
2,5,0,13772.37461912825,2045350.892393734,242
2,6,0,16588.64730941787,2368616.782203626,289
2,7,0,19302.7566822728,2705722.725416253,346
2,8,0,22516.14749930971,3466117.874254571,388
2,9,0,25438.01644609361,4217991.347178474,404
2,10,0,23171.54899897798,3349896.536359082,407
2,11,0,24476.67294507311,4117776.431925882,414
2,12,0,22928.86502695557,3543235.043869465,376
2,13,0,16676.24455555469,2253088.650277225,317
2,14,0,14984.15865926979,1991143.399997297,291
2,15,0,12288.43434228122,1574599.739043235,243
2,16,0,8524.717780029467,1033563.019552221,195
2,17,0,8649.853538701465,1148369.84929826,161
2,18,0,6383.81918388664,909411.6233167815,136
2,19,0,5428.111739308218,634071.8694609023,112
2,20,0,2637.287664572385,316023.8388383121,76
3,0,0,4337.361298457648,580163.8404967551,91
3,1,0,5439.470579496779,759697.9237156236,119
3,2,0,8298.973472081216,1174477.466782195,168
3,3,0,10582.73171168605,1507956.723876931,209
3,4,0,13063.64196121568,1937052.084727803,274
3,5,0,17137.07716509407,2421220.545218291,335
3,6,0,23278.27395587901,3494882.642968054,386
3,7,0,24831.57187404447,3605128.284402265,461
3,8,0,35574.38999644628,6279550.94628899,504
3,9,0,34524.73300064256,5823345.600089525,570
3,10,0,39489.42905886882,7202260.340509441,563
3,11,0,37360.46886205377,6522044.938792309,563
3,12,0,31353.14907525767,4998623.649048802,523
3,13,0,24666.62711220734,3494387.666315632,455
3,14,0,20941.70150778566,3004152.368594562,406
3,15,0,19148.84012269901,2977591.109031334,327
3,16,0,14337.99563115781,1946337.487959974,272
3,17,0,12820.53900311844,2148027.415767414,218
3,18,0,8139.402826772249,1126492.375661166,167
