# mesh name: boxMesh
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,0,0,2356.888461496365,238880.0294960627,54
0,1,0,2640.158999595945,260349.466645155,64
0,2,0,4837.521537998219,835139.8523014947,76
0,3,0,5032.694433013313,773228.5564057361,99
0,4,0,6990.932194571773,1044223.961930983,135
0,5,0,7737.209418497884,1115932.153784068,152
0,6,0,8493.462461572983,1203669.556475487,148
0,7,0,8546.344313137102,987608.8434239008,170
0,8,0,9555.397949524158,1233574.470246487,198
0,9,0,10411.4225840329,1545481.722348602,195
0,10,0,8270.381901026052,978920.3603043279,199
0,11,0,8550.029495772465,1061627.705983482,197
0,12,0,10002.20140645402,1218941.083711722,203
0,13,0,9355.598932375911,1124895.61224324,185
0,14,0,7912.921055881629,1109292.896735925,165
0,15,0,6789.40208313767,1066879.693660072,131
0,16,0,6269.458593720358,1038763.57330686,113
0,17,0,4895.188572798167,771977.5658553562,95
0,18,0,3237.013772852134,358075.6692975434,80
0,19,0,2561.582565876913,315704.8489050416,53
0,20,0,2522.339069279687,355440.6897074167,42
1,0,0,3415.58784648438,530281.8965908756,64
1,1,0,3265.775929408268,353542.7311817505,75
1,2,0,5080.89413494394,854907.3349366542,102
1,3,0,6785.915019123642,951454.300318738,128
1,4,0,9111.075332226264,1252728.580761154,160
1,5,0,11357.17849850812,1858541.452179244,188
1,6,0,10109.53214255914,1420699.493497095,221
1,7,0,14217.57634874999,2180092.660012929,254
1,8,0,14152.80993851284,1829162.178883996,247
1,9,0,14885.10230160413,2197645.344216443,270
1,10,0,12970.99004748563,1698854.505855373,270
1,11,0,15163.14057199471,2152703.170421499,281
1,12,0,15477.8028777983,2284467.97361636,287
1,13,0,13212.65389713265,1835381.892395442,242
1,14,0,12595.74487076929,2156835.475191957,216
1,15,0,7128.837751403453,741362.3197885941,182
1,16,0,6303.396676731377,808518.8424426767,143
1,17,0,5162.215434671622,608430.3795856048,112
1,18,0,3384.573732827981,286008.820380612,107
1,19,0,2784.618920340606,264746.2211158348,76
1,20,0,2251.419522705801,210550.7557575783,52
2,0,0,4043.520798030932,636411.7817292153,75
2,1,0,4694.841915651889,679047.5191094632,102
2,2,0,6395.553073128404,844159.7919220061,129
2,3,0,9111.407042174533,1279105.650625134,171
2,4,0,11422.90985207359,1476101.104233064,223
2,5,0,13466.69181129208,1764453.277945828,244
2,6,0,17125.64373533499,2651047.344954982,279
2,7,0,19382.14634925788,2794981.127313966,339
2,8,0,22416.98855452776,3562648.322702176,373
2,9,0,23118.25198351213,3792122.737440684,383
2,10,0,22178.29900199898,3055065.140571246,403
2,11,0,22255.67816193461,3525454.575125614,416
2,12,0,23035.88023027474,3717328.899284691,371
2,13,0,15571.02112362666,2015326.877466616,318
2,14,0,14089.78362843667,1888575.133632991,275
2,15,0,13537.32798014099,2334165.03665002,221
2,16,0,8449.034191963414,975437.6080938292,191
2,17,0,8267.296592080034,1041094.238402484,152
2,18,0,5831.280662246802,708326.7275939089,125
2,19,0,5192.661154235319,699550.3351588571,106
2,20,0,2947.365497618267,363624.0562604731,76
3,0,0,4324.516888017664,649657.4371570109,99
3,1,0,5336.556417373894,603072.8449301799,121
3,2,0,8747.156032264713,1222469.801825841,165
3,3,0,10756.36551267864,1688156.870446935,206
3,4,0,13011.20086348239,1626132.269191259,265
3,5,0,16765.50193216915,2265315.833058039,324
3,6,0,21272.29703445953,2900750.188431787,382
3,7,0,24476.58426281742,3352715.588633738,435
3,8,0,31534.42614493844,5339297.742004515,514
3,9,0,34878.74915582047,5587381.038383341,564
3,10,0,36500.46361708191,6059751.032636777,565
3,11,0,34824.11813300799,5474366.288084388,557
3,12,0,29930.96016495602,4639453.549336134,500
3,13,0,24403.47880654599,3469247.269898188,452
3,14,0,22061.7688928917,3249129.069862086,414
3,15,0,17304.85247016331,2413780.442121899,317
3,16,0,13681.70962790734,1824391.812664582,259
3,17,0,12090.77497671417,1730708.014001448,219
3,18,0,8010.253371043908,1187287.111493361,183
3,19,0,7806.516525267789,1460913.664760984,124
3,20,0,5069.575240913407,638418.335598752,99
4,0,0,6367.833985925048,852851.8884711144,117
4,1,0,7696.08456509488,1146352.270829248,154
4,2,0,10105.81850262311,1274773.313053005,203
4,3,0,13936.88490258069,2356198.528708254,264
4,4,0,18941.26292829942,2972742.683632203,356
4,5,0,23827.46230702254,4240338.693400374,422
4,6,0,34277.9069614885,5765882.219264383,522
4,7,0,42092.9510619975,7175538.5090656,587
4,8,0,50984.47023771048,9509650.721853357,663
4,9,0,55217.69209877817,9874234.017404411,729
4,10,0,59243.15712161253,11886530.55362516,735
4,11,0,57286.06922235312,11483906.70204985,711
4,12,0,49846.40805287592,9394860.234512253,670
4,13,0,40908.19223440647,7081691.616933367,585
4,14,0,30245.54150418814,4911993.159282174,521
4,15,0,25023.16249826954,3755796.343213762,435
4,16,0,20620.32048790793,2967040.766004072,348
4,17,0,17120.6617467694,2636914.855239831,304
4,18,0,11582.48313086491,1475673.032887676,229
4,19,0,8591.057848984876,1366056.482752783,167
4,20,0,6414.336787738035,758558.2705341888,125
5,0,0,7589.710568150566,1198805.735559213,132
5,1,0,8469.399123988178,1173708.898427339,178
