# mesh name: boxMesh
# primitive scorer name: eDep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
0,0,0,504.9034002985139,60645.19203909203,57
0,1,0,183.2994566750873,4412.505687006146,54
0,2,0,212.4667742624418,5209.957564395541,48
0,3,0,338.2523540250047,6550.598465777583,53
0,4,0,270.186997949218,8752.158946579457,59
0,5,0,281.5807497202691,7282.141753663817,58
0,6,0,276.3810618419092,9657.070632196737,54
0,7,0,286.177653151143,14941.71944493573,62
0,8,0,423.9181787312902,25963.82384265818,64
0,9,0,315.2458739931247,6280.041280370404,73
0,10,0,296.3603039886472,12655.41315049098,69
0,11,0,434.8726714206242,11205.37207554498,85
0,12,0,416.8691976533808,9848.683665241713,80
0,13,0,698.4591356227232,25153.79632765531,89
0,14,0,450.3703447641037,15114.32977713868,89
0,15,0,556.4853230903303,13513.29339906437,105
0,16,0,794.3707897415281,37524.1059169029,101
0,17,0,517.0785837978693,13069.02224728933,104
0,18,0,782.0634894235934,25640.23798238955,112
0,19,0,775.8048602838968,24257.86865990301,112
0,20,0,653.8332384064067,15374.07322128259,111
0,21,0,925.0337057884973,30325.47046604961,115
0,22,0,867.3080116101916,25566.52858874613,120
0,23,0,1025.322385294739,38824.24192462543,128
0,24,0,691.136868599265,17367.49013651207,125
0,25,0,690.3975667868245,20520.42120851509,127
0,26,0,653.9801941311371,13899.60318099005,120
0,27,0,762.9148057193223,18990.29034338662,130
0,28,0,856.1624343042342,25922.80650997349,146
0,29,0,912.3289515099505,23680.31718372373,141
0,30,0,1060.329545385443,34238.4336858042,141
0,31,0,799.5587144821047,25683.26991260105,137
0,32,0,1198.165350027977,39483.27019969992,154
0,33,0,1140.157849675352,29476.65918717084,161
0,34,0,1226.316097189872,36748.08201057345,159
0,35,0,1253.694141224823,37455.70009558171,176
0,36,0,1437.703717190481,63540.18320374555,174
0,37,0,925.252776670613,23889.54329775048,168
0,38,0,1142.362490388464,31793.65938431248,186
0,39,0,948.6159466472814,23418.87737410952,169
0,40,0,1253.134324092078,46282.06919196648,190
0,41,0,1391.801342983098,43901.79338678587,186
0,42,0,1011.645359262599,28794.92047591135,174
0,43,0,1290.104470269662,40551.74132307709,179
0,44,0,1181.389090854338,39770.96893258155,179
0,45,0,1561.588476398228,49665.39712855288,192
0,46,0,1374.46008809337,41538.1248956839,189
0,47,0,1139.990572595472,26081.19442750904,207
0,48,0,1333.851933846087,43044.80933760117,198
0,49,0,1369.229966294825,43752.00804684022,192
0,50,0,1326.524546232932,39328.04490570055,181
0,51,0,1100.84249288683,37902.61649449288,173
0,52,0,1322.760730199069,38676.07564842545,185
0,53,0,1081.399288472554,29930.75294057861,172
0,54,0,1251.724760786901,41428.32424589203,169
0,55,0,1298.11228034219,40309.39856453915,168
0,56,0,1163.902717882779,36179.62549636797,181
0,57,0,1556.800430055855,62502.40626736238,189
0,58,0,1307.354431778458,40643.08299557554,194
0,59,0,1092.267878169492,25468.29115227249,179
0,60,0,1243.610185878449,35716.90146519153,174
0,61,0,1336.434559483429,33090.1238137932,188
0,62,0,1267.250351182497,36836.57532445824,175
0,63,0,1333.015826686346,36867.90634823644,183
0,64,0,836.7391819985847,25223.27299976706,157
0,65,0,1026.021739886465,28589.35638708112,158
0,66,0,803.4390870898166,18000.17625679185,151
0,67,0,828.0941670105618,27652.36999229904,146
0,68,0,1074.940092521115,31404.45313106767,159
0,69,0,971.9992879290572,31240.22209437075,150
0,70,0,792.4965504698451,25306.77520780609,140
0,71,0,834.3034251675645,26337.02154011551,125
0,72,0,715.2245060259817,23039.17979073961,128
0,73,0,766.1377928777913,20913.35837112173,132
0,74,0,798.0932988591642,26921.40565142121,128
0,75,0,818.5787260756525,19281.86976211935,124
0,76,0,645.9600926472802,14313.4868374092,119
0,77,0,693.7607169989845,24080.73067181754,121
0,78,0,550.767774521355,12882.61538190045,121
0,79,0,288.9995004495376,6316.618280848829,106
0,80,0,611.4231793556662,15436.61623625669,105
0,81,0,464.5268699208685,12316.03050533826,85
0,82,0,566.9865823848077,15225.20947962085,95
0,83,0,649.7890607679233,20384.50902629733,83
0,84,0,581.0719143509541,14717.65649684259,95
0,85,0,591.9936997009744,23606.38865962496,92
0,86,0,558.2461453079694,13205.24247990926,88
0,87,0,501.9542567640102,11923.42424184401,91
0,88,0,388.5722591194494,10337.26195275096,82
0,89,0,456.7976691917778,13206.25086471718,74
0,90,0,410.6793407184596,9650.31768561175,89
0,91,0,436.6901960992162,10642.57900662945,79
0,92,0,343.217657872101,6712.027339927328,92
0,93,0,455.0717870426561,13263.09280979657,72
0,94,0,239.623432147576,7665.695231933158,64
0,95,0,445.1643183376753,30750.64935958007,62
0,96,0,409.9321336561658,24735.21988206486,64
0,97,0,444.7261628768404,13365.4020992998,71
0,98,0,271.793444339512,10093.42728464422,61
0,99,0,369.6947146508061,9327.253908462329,67
0,100,0,289.0462456922744,6596.974143511189,65
1,0,0,140.4705187276966,2355.342534586078,64
1,1,0,344.5732805963949,10262.59664923897,57
1,2,0,398.5036049103351,11125.91573181172,54
1,3,0,422.7374397185627,15312.24824541207,59
1,4,0,339.1656402563742,9214.183653437534,62
1,5,0,321.8340751569716,6728.792607527903,66
1,6,0,210.0308001996544,3552.311750132795,59
1,7,0,402.860789561018,8869.266044321566,81
1,8,0,394.8054973798965,8547.909003926436,72
1,9,0,442.7758479437199,11834.03897205007,80
1,10,0,509.3704469936657,14048.0734486932,86
1,11,0,407.3032617020233,8533.106493107305,83
1,12,0,377.6488102644212,7509.164583783891,87
1,13,0,581.2156839859339,22397.41516687685,85
1,14,0,640.4126849521201,28150.23458112311,87
1,15,0,370.9437001198718,7236.452873356996,87
1,16,0,566.3415951202137,21466.90408735314,90
1,17,0,615.3576997856293,16048.99454272511,112
1,18,0,678.5226839945971,19794.42941294559,124
1,19,0,872.6941677667334,26021.51571366755,115
1,20,0,813.3621206825555,34198.3746698147,114
1,21,0,796.959097690363,21167.38982081228,124
1,22,0,876.3588082120172,31720.68266190587,127
1,23,0,629.865009249623,12462.28661919707,124
1,24,0,705.6048404067409,22073.40330863022,143
1,25,0,858.4145615976192,25422.08521075136,138
1,26,0,946.1256243325466,48759.42236870241,128
1,27,0,878.8475618998542,22244.29974506771,132
1,28,0,1100.733271775168,44021.55845146428,131
1,29,0,1385.547951814402,54498.67628048248,156
1,30,0,1136.110592302361,44517.16969297575,158
1,31,0,995.8831316576897,25521.77804322842,161
1,32,0,1042.293829284713,25734.96483658555,164
1,33,0,1196.927939513387,41078.28295189332,172
1,34,0,907.6355653060713,20574.91872172448,173
1,35,0,946.5785288854742,21353.39906414173,173
1,36,0,1200.399687127356,36560.85442415747,178
1,37,0,1418.686653444694,57753.56150064645,170
1,38,0,1316.382407936338,38921.64357608368,187
1,39,0,1477.078507620013,51044.70415499914,190
1,40,0,1235.134091798507,41266.85776664964,192
1,41,0,1132.727889461135,32673.91445810119,194
1,42,0,1210.896324432508,38234.09218624201,183
1,43,0,1232.08625540483,33192.09381892181,209
1,44,0,1087.141169690697,32995.4955188949,194
1,45,0,1054.878025308048,23725.33260429837,197
1,46,0,1495.265272299206,48328.36826367617,206
1,47,0,1497.803530387481,47950.47164088336,212
1,48,0,1136.344913540563,30065.33849971352,217
1,49,0,1344.436153533174,41853.54251723953,198
1,50,0,1259.478965525258,39673.85309743074,195
1,51,0,1212.765743734397,41199.33479948444,191
1,52,0,1367.419698060648,55253.26766226065,185
1,53,0,1245.856639892088,28389.55504627083,203
1,54,0,1559.073143071346,51413.19446745877,200
1,55,0,1291.920230992081,34413.15821814287,201
1,56,0,1691.37449685687,65509.40109897991,209
1,57,0,1258.268988784087,43915.591981154,202
1,58,0,1553.075788489284,46571.7628015446,197
1,59,0,1449.965010432857,50341.03176083764,193
1,60,0,1222.801387756035,29516.99536617713,203
1,61,0,1236.423369280961,35534.28677399168,194
1,62,0,1135.574010619066,28627.51616062068,180
1,63,0,959.0977227249084,21859.09969942241,172
1,64,0,1240.111986764945,35980.82368889456,172
1,65,0,1165.259541464648,35632.02636005649,165
1,66,0,1028.217273430007,26831.12650367605,162
1,67,0,1266.631317935704,43159.93135142863,166
1,68,0,1268.994079859756,47277.56106917383,156
1,69,0,1177.469266944709,39741.27168845094,144
1,70,0,652.0840149942844,16421.93271911203,150
1,71,0,853.6754595993971,20920.46190622269,142
1,72,0,928.0401821858882,38926.36962287547,136
1,73,0,808.401299435818,23544.61424888742,138
1,74,0,778.2741982299276,22268.26803252216,130
1,75,0,555.0112235192844,13480.40194691466,121
1,76,0,569.0490034786791,12283.65917222976,120
1,77,0,694.9871510723941,20279.07015226701,109
1,78,0,649.0599966738724,20902.94908909504,119
1,79,0,837.1211756313022,32191.48209236616,114
1,80,0,586.0731011710554,14019.54593706208,108
1,81,0,500.9073512049893,14236.456301857,100
1,82,0,490.4406136705466,8303.6966722217,99
1,83,0,704.1128877388892,28008.08086049402,100
1,84,0,562.0940141685796,19137.92774075504,89
1,85,0,795.663480881057,37625.42363463252,99
1,86,0,580.8461232047623,19695.12307660972,102
1,87,0,427.2902616918818,12516.07522173122,91
1,88,0,521.0544463611385,10885.95243743574,100
1,89,0,482.8813956806694,12714.08091489135,90
1,90,0,856.6792636974176,45062.07035405446,91
1,91,0,451.3486648761542,10179.83925464553,77
1,92,0,380.6936499427264,8155.797243802404,90
1,93,0,374.9344365945864,10640.46638331855,72
1,94,0,524.0045903050718,21028.97156696284,68
1,95,0,355.594130162083,10898.48507352093,59
1,96,0,259.2697822611652,3885.0471528256,63
1,97,0,248.5712632756498,5404.617799240134,68
1,98,0,574.6179729447549,19115.69178349574,74
1,99,0,180.1746322699263,3673.087286033759,68
1,100,0,168.4406792193783,2851.423981978089,63
2,0,0,397.0360972239002,15003.68385945956,62
2,1,0,416.0648713577349,12893.5519405797,55
2,2,0,397.0067382166449,21413.80574462202,50
2,3,0,301.0714193145049,6390.337623211311,69
2,4,0,368.6465461026523,11112.65249284176,67
2,5,0,228.7616222489589,4333.829360612128,60
2,6,0,395.241509035054,11387.25627629427,70
2,7,0,411.2936899499178,11288.39979618393,74
2,8,0,367.4731933159252,8336.666741637022,72
2,9,0,408.9849519178458,8868.778692275189,83
